lyrics
"""I found a love for me Oh darling, just dive right in and follow my lead Well, I found a girl, beautiful and sweet Oh, I never knew you were the someone waiting for me 'Cause we were just kids when we fell in love Not knowing what it was I will not give you up this time But darling, just kiss me slow, your heart is all I own And in your eyes, you're holding mine Baby, I'm dancing in the dark with you between my arms Barefoot on the grass, listening to our favourite song When you said you looked a mess, I whispered underneath my breath But you heard it, darling, you look perfect tonight Well I found a woman, stronger than anyone I know She shares my dreams, I hope that someday I'll share her home I found a love, to carry more than just my secrets To carry love, to carry children of our own We are still kids, but we're so in love Fighting against all odds I know we'll be alright this time Darling, just hold my hand Be my girl, I'll be your man I see my future in your eyes Baby, I'm dancing in the dark, with you between my arms Barefoot on the grass, listening to our favorite song When I saw you in that dress, looking so beautiful I don't deserve this, darling, you look perfect tonight Baby, I'm dancing in the dark, with you between my arms Barefoot on the grass, listening to our favorite song I have faith in what I see Now I know I have met an angel in person And she looks perfect I don't deserve this You look perfect tonight"""
"""Had to have high, high hopes for a living Shooting for the stars when I couldn't make a killing Didn't have a dime but I always had a vision Always had high, high hopes Had to have high, high hopes for a living Didn't know how but I always had a feeling I was gonna be that one in a million Always had high, high hopes Mama said Fulfill the prophecy Be something greater Go make a legacy Manifest destiny Back in the days We wanted everything, wanted everything Mama said Burn your biographies Rewrite your history Light up your wildest dreams Museum victories, everyday We wanted everything, wanted everything Mama said don't give up, it's a little complicated All tied up, no more love and I'd hate to see you waiting Had to have high, high hopes for a living Shooting for the stars when I couldn't make a killing Didn't have a dime but I always had a vision Always had high, high hopes Had to have high, high hopes for a living Didn't know how but I always had a feeling I was gonna be that one in a million Always had high, high hopes (high, high hopes) Mama said It's uphill for oddities Stranger crusaders Ain't ever wannabes The weird and the novelties Don't ever change We wanted everything, wanted everything Stay up on that rise Stay up on that rise and never come down, oh Stay up on that rise Stay up on that rise and never come down Mama said don't give up, it's a little complicated All tied up, no more love and I'd hate to see you waiting They say it's all been done but they haven't seen the best of me So I got one more run and it's gonna be a sight to see Had to have high, high hopes for a living Shooting for the stars when I couldn't make a killing Didn't have a dime but I always had a vision Always had high, high hopes Had to have high, high hopes for a living Didn't know how but I always had a feeling I was gonna be that one in a million Always had high, high hopes Had to have high, high hopes for a living Shooting for the stars when I couldn't make a killing Didn't have a dime but I always had a vision Always had high, high hopes Had to have high, high hopes for a living Didn't know how but I always had a feeling I was gonna be that one in a million Always had high, high hopes (high, high hopes)"""
"""Heart beats fast Colors and promises How to be brave? How can I love when I'm afraid to fall? But watching you stand alone All of my doubt suddenly goes away somehow One step closer I have died every day waiting for you Darling, don't be afraid I have loved you for a thousand years I'll love you for a thousand more Time stands still Beauty in all she is I will be brave I will not let anything take away What's standing in front of me Every breath Every hour has come to this One step closer I have died every day waiting for you Darling, don't be afraid I have loved you for a thousand years I'll love you for a thousand more And all along I believed I would find you Time has brought your heart to me I have loved you for a thousand years I'll love you for a thousand more One step closer One step closer I have died every day waiting for you Darling don't be afraid I have loved you for a thousand years I'll love you for a thousand more And all along I believed I would find you Time has brought your heart to me I have loved you for a thousand years I'll love you for a thousand more"""
"""Trap, TrapMoneyBenny This shit got me in my feelings Gotta be real with it, yup Kiki, do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want ya, and I need ya And I'm down for you always KB, do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want ya, and I need ya And I'm down for you always Look, the new me is really still the real me I swear you gotta feel me before they try and kill me They gotta make some choices, they runnin' out of options 'Cause I've been going off and they don't know when it's stopping And when you get to topping I see that you've been learning And when I take you shopping You spend it like you earned it And when you popped off on your ex, he deserved it I thought you were the one from the jump that confirmed it TrapMoneyBenny I buy you Champagne but you love some Henny From the block, like you Jenny I know you special, girl, 'cause I know too many 'Resha, do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want ya, and I need ya And I'm down for you always J.T., do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want ya, and I need ya And I'm down for you always Two bad bitches and we kissin' in the Wraith Kissin'-kissin' in the Wraith, kiss-kissin' in the Wraith I need that black card and the code to the safe Code to the safe, code-code to the safe-safe I show him how that neck work Fuck that Netflix and chill What's your net-net-net worth? 'Cause I want ya, and I need ya And I'm down for you always (Yea, yea, yea, yea, he bad) And I'm down for you always (Yea, yea, yea, guess who's back) And I'm down for you always D-down for you al- (Black biggy biggy black biggy black blake) D-d-down for you always (I got a new boy, and that nigga trade!) Kiki, do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want you, and I need ya And I'm down for you always KB, do you love me? Are you riding? Say you'll never ever leave from beside me 'Cause I want ya, and I Skate and smoke and ride Now let me see you Bring that ass, bring that ass, bring that ass back Bring that ass, bring that ass, bring that ass back Now let me see you Shawty say the nigga that she with can't hit But shawty, I'ma hit it, hit it like I can't miss Now let me see you Walk that ass, you're the only one I love (Walk that ass, walk-walk that ass) Now let me see you Now let me see you (W-w-walk that ass, you're the only one I love) Now let me see you, now let me see you Now let me see you (Bring that ass back) Trap, TrapMoneyBenny This shit got me in my feelings Gotta be real with it, yup (Now let me see you) BlaqNmilD, you a genius, you diggin' me? What are y'all talking about? You don't know that? I don't even care I need a photo with Drake Because my Instagram's weak as fuck I'm just being real, my shit look"""
"""Tastes like strawberries On a summer evenin' And it sounds just like a song I want more berries And that summer feelin' It's so wonderful and warm Breathe me in, breathe me out I don't know if I could ever go without I'm just thinking out loud I don't know if I could ever go without Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar Strawberries on a summer evenin' Baby, you're the end of June I want your belly And that summer feelin' Getting washed away in you Breathe me in, breathe me out I don't know if I could ever go without Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high I just wanna taste it, I just wanna taste it Watermelon sugar high Tastes like strawberries On a summer evenin' And it sounds just like a song I want your belly And that summer feelin' I don't know if I could ever go without Watermelon sugar high Watermelon sugar high Watermelon sugar high (sugar) Watermelon sugar high (sugar) Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high I just wanna taste it, I just wanna taste it Watermelon sugar high I just wanna taste it, I just wanna taste it Watermelon sugar high Watermelon sugar"""
"""You're insecure, don't know what for You're turning heads when you walk through the do-o-or Don't need make-up to cover up Being the way that you are is enou-ou-ough Everyon else in the room can see it Everyone else, but you, ooh Baby, you light up my world like nobody else The way that you flip your hair gets me overwhelmed But when you smile at the ground, it ain't hard to tell You don't know, oh-oh You don't know you're beautiful If only you saw what I can see You'll understand why I want you so desperatelyc  Right now I'm lookin' at you, and I can't believe You don't know, oh-oh You don't know you're beautiful, oh-oh That's what makes you beautiful So c-come on, you got it wrong To prove I'm right, I put it in a song don't know why you're being shy And turn away when I look into your eye-eye-eyes Everyone else in the room can see it Everyone else, but you, ooh Baby, you light up my world like nobody else The way that you flip your hair gets me overwhelmed But when you smile at the ground, it ain't hard to tell You don't know, oh-oh You don't know you're beautiful If only you saw what I can see You'll understand why I want you so desperately Right now I'm lookin' at you, and I can't believe""
 "
